,date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
0,01/01/2024,"AlArbia'a, 01 Muharram, 2024",06:06 AM,06:16 AM,07:35 AM,11:59 AM,12:15 PM,02:05 PM,02:15 PM,04:23 PM,04:28 PM,05:53 PM,06:15 PM,12:15 PM,1:15 PM
1,01/02/2024,"AlKhamis, 02 Muharram, 2024",06:06 AM,06:16 AM,07:35 AM,12:00 PM,12:15 PM,02:06 PM,02:15 PM,04:24 PM,04:29 PM,05:53 PM,06:15 PM,12:15 PM,1:15 PM
2,01/03/2024,"AlJumaa, 03 Muharram, 2024",06:06 AM,06:16 AM,07:35 AM,12:00 PM,12:15 PM,02:07 PM,02:15 PM,04:25 PM,04:30 PM,05:54 PM,06:15 PM,12:15 PM,1:15 PM
3,01/04/2024,"AsSabt, 04 Muharram, 2024",06:06 AM,06:16 AM,07:35 AM,12:01 PM,12:15 PM,02:08 PM,02:15 PM,04:26 PM,04:31 PM,05:55 PM,06:15 PM,12:15 PM,1:15 PM
4,01/05/2024,"AlAhad, 05 Muharram, 2024",06:06 AM,06:16 AM,07:34 AM,12:01 PM,12:15 PM,02:09 PM,02:15 PM,04:27 PM,04:32 PM,05:56 PM,06:15 PM,12:15 PM,1:15 PM
5,01/06/2024,"AlEthnien, 06 Muharram, 2024",06:06 AM,06:16 AM,07:34 AM,12:01 PM,12:15 PM,02:10 PM,02:15 PM,04:28 PM,04:33 PM,05:57 PM,06:15 PM,12:15 PM,1:15 PM
6,01/07/2024,"AthThulatha, 07 Muharram, 2024",06:06 AM,06:16 AM,07:34 AM,12:02 PM,12:15 PM,02:11 PM,03:00 PM,04:29 PM,04:34 PM,05:58 PM,06:30 PM,12:15 PM,1:15 PM
7,01/08/2024,"AlArbia'a, 08 Muharram, 2024",06:06 AM,06:16 AM,07:34 AM,12:02 PM,12:15 PM,02:12 PM,03:00 PM,04:30 PM,04:35 PM,05:59 PM,06:30 PM,12:15 PM,1:15 PM
8,01/09/2024,"AlKhamis, 09 Muharram, 2024",06:06 AM,06:16 AM,07:34 AM,12:02 PM,12:15 PM,02:12 PM,03:00 PM,04:30 PM,04:35 PM,05:59 PM,06:30 PM,12:15 PM,1:15 PM
9,01/10/2024,"AlJumaa, 10 Muharram, 2024",06:05 AM,06:15 AM,07:33 AM,12:03 PM,12:15 PM,02:14 PM,03:00 PM,04:33 PM,04:38 PM,06:01 PM,06:30 PM,12:15 PM,1:15 PM
10,01/11/2024,"AsSabt, 11 Muharram, 2024",06:05 AM,06:15 AM,07:33 AM,12:04 PM,12:15 PM,02:15 PM,03:00 PM,04:34 PM,04:39 PM,06:02 PM,06:30 PM,12:15 PM,1:15 PM
11,01/12/2024,"AlAhad, 12 Muharram, 2024",06:05 AM,06:15 AM,07:32 AM,12:04 PM,12:15 PM,02:16 PM,03:00 PM,04:35 PM,04:40 PM,06:03 PM,06:30 PM,12:15 PM,1:15 PM
12,01/13/2024,"AlEthnien, 13 Muharram, 2024",06:04 AM,06:14 AM,07:32 AM,12:04 PM,12:15 PM,02:17 PM,03:00 PM,04:36 PM,04:41 PM,06:04 PM,06:30 PM,12:15 PM,1:15 PM
13,01/14/2024,"AthThulatha, 14 Muharram, 2024",06:04 AM,06:14 AM,07:31 AM,12:05 PM,12:15 PM,02:18 PM,03:00 PM,04:37 PM,04:42 PM,06:05 PM,06:30 PM,12:15 PM,1:15 PM
14,01/15/2024,"AlArbia'a, 15 Muharram, 2024",06:04 AM,06:14 AM,07:31 AM,12:05 PM,12:15 PM,02:19 PM,03:00 PM,04:39 PM,04:44 PM,06:07 PM,06:30 PM,12:15 PM,1:15 PM
