date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
01/01/2020,"AlArbia'a, 01 Muharram, 2020",6:05 AM,6:30 AM,7:34 AM,11:58 AM,1:15 PM,2:39 PM,3:00 PM,4:25 PM,4:25 PM,5:51 PM,7:30 PM,12:15 PM,1:15 PM
01/02/2020,"AlKhamis, 02 Muharram, 2020",6:05 AM,6:30 AM,7:34 AM,11:59 AM,1:15 PM,2:40 PM,3:00 PM,4:26 PM,4:26 PM,5:52 PM,7:30 PM,12:15 PM,1:15 PM
01/03/2020,"AlJumaa, 03 Muharram, 2020",6:05 AM,6:30 AM,7:34 AM,11:59 AM,1:15 PM,2:41 PM,3:00 PM,4:27 PM,4:27 PM,5:53 PM,8:00 PM,12:15 PM,1:15 PM
01/04/2020,"AsSabt, 04 Muharram, 2020",6:05 AM,6:30 AM,7:34 AM,12:00 PM,1:15 PM,2:42 PM,3:00 PM,4:28 PM,4:28 PM,5:54 PM,7:30 PM,12:15 PM,1:15 PM
01/05/2020,"AlAhad, 05 Muharram, 2020",6:05 AM,6:30 AM,7:34 AM,12:00 PM,1:15 PM,2:43 PM,3:00 PM,4:29 PM,4:29 PM,5:55 PM,7:30 PM,12:15 PM,1:15 PM
01/06/2020,"AlEthnien, 06 Muharram, 2020",6:05 AM,6:30 AM,7:34 AM,12:01 PM,1:15 PM,2:44 PM,3:00 PM,4:30 PM,4:30 PM,5:56 PM,7:30 PM,12:15 PM,1:15 PM
01/07/2020,"AthThulatha, 07 Muharram, 2020",6:05 AM,6:30 AM,7:33 AM,12:01 PM,1:15 PM,2:45 PM,3:20 PM,4:31 PM,4:31 PM,5:57 PM,7:30 PM,12:15 PM,1:15 PM
01/08/2020,"AlArbia'a, 08 Muharram, 2020",6:05 AM,6:30 AM,7:33 AM,12:01 PM,1:15 PM,2:46 PM,3:20 PM,4:32 PM,4:32 PM,5:58 PM,7:30 PM,12:15 PM,1:15 PM
01/09/2020,"AlKhamis, 09 Muharram, 2020",6:05 AM,6:30 AM,7:33 AM,12:02 PM,1:15 PM,2:47 PM,3:20 PM,4:33 PM,4:33 PM,5:59 PM,7:30 PM,12:15 PM,1:15 PM
01/10/2020,"AlJumaa, 10 Muharram, 2020",6:05 AM,6:30 AM,7:33 AM,12:02 PM,1:15 PM,2:48 PM,3:20 PM,4:34 PM,4:34 PM,6:00 PM,8:00 PM,12:15 PM,1:15 PM
01/11/2020,"AsSabt, 11 Muharram, 2020",6:04 AM,6:30 AM,7:32 AM,12:03 PM,1:15 PM,2:49 PM,3:20 PM,4:34 PM,4:35 PM,6:01 PM,7:30 PM,12:15 PM,1:15 PM
01/12/2020,"AlAhad, 12 Muharram, 2020",6:04 AM,6:30 AM,7:32 AM,12:03 PM,1:15 PM,2:50 PM,3:20 PM,4:37 PM,4:37 PM,6:02 PM,7:30 PM,12:15 PM,1:15 PM
01/13/2020,"AlEthnien, 13 Muharram, 2020",6:04 AM,6:30 AM,7:31 AM,12:03 PM,1:15 PM,2:52 PM,3:20 PM,4:38 PM,4:38 PM,6:03 PM,7:30 PM,12:15 PM,1:15 PM
01/14/2020,"AthThulatha, 14 Muharram, 2020",6:04 AM,6:30 AM,7:31 AM,12:04 PM,1:15 PM,2:53 PM,3:20 PM,4:39 PM,4:39 PM,6:04 PM,7:30 PM,12:15 PM,1:15 PM
01/15/2020,"AlArbia'a, 15 Muharram, 2020",6:03 AM,6:30 AM,7:30 AM,12:04 PM,1:15 PM,2:54 PM,3:20 PM,4:40 PM,4:40 PM,6:05 PM,7:30 PM,12:15 PM,1:15 PM
01/16/2020,"AlKhamis, 16 Muharram, 2020",6:03 AM,6:30 AM,7:30 AM,12:04 PM,1:15 PM,2:55 PM,3:20 PM,4:42 PM,4:42 PM,6:06 PM,7:30 PM,12:15 PM,1:15 PM
01/17/2020,"AlJumaa, 17 Muharram, 2020",6:02 AM,6:30 AM,7:29 AM,12:05 PM,1:15 PM,2:57 PM,3:20 PM,4:43 PM,4:43 PM,6:07 PM,8:00 PM,12:15 PM,1:15 PM
01/18/2020,"AsSabt, 18 Muharram, 2020",6:02 AM,6:30 AM,7:28 AM,12:05 PM,1:15 PM,2:58 PM,3:20 PM,4:44 PM,4:44 PM,6:09 PM,7:30 PM,12:15 PM,1:15 PM
01/19/2020,"AlAhad, 19 Muharram, 2020",6:01 AM,6:30 AM,7:28 AM,12:05 PM,1:15 PM,2:59 PM,3:20 PM,4:46 PM,4:46 PM,6:10 PM,7:30 PM,12:15 PM,1:15 PM
01/20/2020,"AlEthnien, 20 Muharram, 2020",6:01 AM,6:30 AM,7:27 AM,12:06 PM,1:15 PM,3:01 PM,3:20 PM,4:47 PM,4:47 PM,6:11 PM,7:30 PM,12:15 PM,1:15 PM
01/21/2020,"AthThulatha, 21 Muharram, 2020",6:00 AM,6:30 AM,7:26 AM,12:06 PM,1:15 PM,3:02 PM,3:20 PM,4:48 PM,4:48 PM,6:12 PM,7:30 PM,12:15 PM,1:15 PM
01/22/2020,"AlArbia'a, 22 Muharram, 2020",5:59 AM,6:30 AM,7:25 AM,12:06 PM,1:15 PM,3:03 PM,3:20 PM,4:50 PM,4:50 PM,6:13 PM,7:30 PM,12:15 PM,1:15 PM
01/23/2020,"AlKhamis, 23 Muharram, 2020",5:59 AM,6:30 AM,7:25 AM,12:07 PM,1:15 PM,3:05 PM,3:20 PM,4:51 PM,4:51 PM,6:14 PM,7:30 PM,12:15 PM,1:15 PM
01/24/2020,"AlJumaa, 24 Muharram, 2020",5:58 AM,6:30 AM,7:24 AM,12:07 PM,1:15 PM,3:06 PM,3:20 PM,4:52 PM,4:52 PM,6:16 PM,8:00 PM,12:15 PM,1:15 PM
01/25/2020,"AsSabt, 25 Muharram, 2020",5:57 AM,6:30 AM,7:23 AM,12:07 PM,1:15 PM,3:07 PM,3:20 PM,4:54 PM,4:54 PM,6:17 PM,7:30 PM,12:15 PM,1:15 PM
01/26/2020,"AlAhad, 26 Muharram, 2020",5:56 AM,6:30 AM,7:22 AM,12:07 PM,1:15 PM,3:09 PM,3:20 PM,4:55 PM,4:55 PM,6:18 PM,7:30 PM,12:15 PM,1:15 PM
01/27/2020,"AlEthnien, 27 Muharram, 2020",5:56 AM,6:30 AM,7:21 AM,12:08 PM,1:15 PM,3:10 PM,3:20 PM,4:57 PM,4:57 PM,6:19 PM,7:30 PM,12:15 PM,1:15 PM
01/28/2020,"AthThulatha, 28 Muharram, 2020",5:55 AM,6:30 AM,7:20 AM,12:08 PM,1:15 PM,3:12 PM,3:30 PM,4:58 PM,4:58 PM,6:21 PM,7:30 PM,12:15 PM,1:15 PM
01/29/2020,"AlArbia'a, 29 Muharram, 2020",5:54 AM,6:30 AM,7:19 AM,12:08 PM,1:15 PM,3:13 PM,3:30 PM,5:00 PM,5:00 PM,6:22 PM,7:30 PM,12:15 PM,1:15 PM
01/30/2020,"AlKhamis, 30 Muharram, 2020",5:53 AM,6:30 AM,7:18 AM,12:08 PM,1:15 PM,3:14 PM,3:30 PM,5:01 PM,5:01 PM,6:23 PM,7:30 PM,12:15 PM,1:15 PM
01/31/2020,"AlJumaa, 31 Muharram, 2020",5:52 AM,6:30 AM,7:17 AM,12:08 PM,1:15 PM,3:16 PM,3:30 PM,5:02 PM,5:02 PM,6:24 PM,8:00 PM,12:15 PM,1:15 PM
02/01/2020,"AsSabt, 01 Safar, 2020",5:51 AM,6:30 AM,7:15 AM,12:08 PM,1:15 PM,3:17 PM,3:30 PM,5:04 PM,5:04 PM,6:26 PM,7:30 PM,12:15 PM,1:15 PM
02/02/2020,"AlAhad, 02 Safar, 2020",5:50 AM,6:30 AM,7:14 AM,12:08 PM,1:15 PM,3:19 PM,3:30 PM,5:05 PM,5:05 PM,6:27 PM,7:30 PM,12:15 PM,1:15 PM
02/03/2020,"AlEthnien, 03 Safar, 2020",5:49 AM,6:30 AM,7:13 AM,12:09 PM,1:15 PM,3:20 PM,3:30 PM,5:07 PM,5:07 PM,6:28 PM,7:30 PM,12:15 PM,1:15 PM
02/04/2020,"AthThulatha, 04 Safar, 2020",5:48 AM,6:20 AM,7:12 AM,12:09 PM,1:15 PM,3:21 PM,3:40 PM,5:08 PM,5:08 PM,6:30 PM,7:30 PM,12:15 PM,1:15 PM
02/05/2020,"AlArbia'a, 05 Safar, 2020",5:47 AM,6:20 AM,7:10 AM,12:09 PM,1:15 PM,3:23 PM,3:40 PM,5:10 PM,5:10 PM,6:31 PM,7:30 PM,12:15 PM,1:15 PM
